 TileSeekerClock, TileDispatchClock, TileDecomposeClock,Total Cycles, Tile Seeker Work Load, Tile Dispatch Work Load, Mean Tile Decomposer Unit Work Load, Inside Tile Decomposer Work Load, Min Tile Raster Work Load 
4,4,1,53617,6,1,78,68,60,
4,4,2,53854,6,1,78,67,60,
4,4,4,54408,6,1,77,67,59,
4,5,1,53785,6,1,78,68,60,
4,5,2,54064,6,1,78,67,60,
4,5,4,54672,6,1,77,66,59,
4,6,1,53889,6,1,78,67,60,
4,6,2,54095,6,1,78,67,60,
4,6,4,54859,6,1,77,66,59,
4,7,1,54205,6,1,77,67,59,
4,7,2,54432,6,1,77,67,59,
4,7,4,55092,6,1,76,66,58,
4,8,1,54366,6,1,77,67,59,
4,8,2,54688,6,1,77,66,59,
4,8,4,55323,6,1,76,66,58,
5,4,1,53709,6,1,78,68,60,
5,4,2,53949,6,1,78,67,60,
5,4,4,54497,6,1,77,67,59,
5,5,1,53972,6,1,78,67,60,
5,5,2,54172,6,1,77,67,59,
5,5,4,54776,6,1,77,66,59,
5,6,1,53992,6,1,78,67,60,
5,6,2,54233,6,1,77,67,59,
5,6,4,54956,6,1,76,66,59,
5,7,1,54315,6,1,77,67,59,
5,7,2,54536,6,1,77,67,59,
5,7,4,55200,6,1,76,66,58,
5,8,1,54509,6,1,77,67,59,
5,8,2,54801,6,1,77,66,59,
5,8,4,55394,6,1,76,65,58,
6,4,1,53808,6,1,78,68,60,
6,4,2,54034,6,1,78,67,60,
6,4,4,54578,6,1,77,66,59,
6,5,1,54036,6,1,78,67,60,
6,5,2,54229,6,1,77,67,59,
6,5,4,54894,6,1,76,66,59,
6,6,1,54099,6,1,78,67,60,
6,6,2,54306,6,1,77,67,59,
6,6,4,55059,6,1,76,66,59,
6,7,1,54431,6,1,77,67,59,
6,7,2,54645,6,1,77,66,59,
6,7,4,55301,6,1,76,65,58,
6,8,1,54622,6,1,77,66,59,
6,8,2,54893,6,1,76,66,59,
6,8,4,55523,6,1,76,65,58,
7,4,1,53871,6,1,78,68,60,
7,4,2,54141,6,1,78,67,60,
7,4,4,54654,6,1,77,66,59,
7,5,1,54093,6,1,78,67,60,
7,5,2,54382,6,1,77,67,59,
7,5,4,54961,6,1,76,66,59,
7,6,1,54223,6,1,77,67,59,
7,6,2,54405,6,1,77,67,59,
7,6,4,55205,6,1,76,66,58,
7,7,1,54527,6,1,77,67,59,
7,7,2,54694,6,1,77,66,59,
7,7,4,55360,6,1,76,65,58,
7,8,1,54762,6,1,77,66,59,
7,8,2,54982,6,1,76,66,59,
7,8,4,55637,6,1,75,65,58,
8,4,1,53975,6,1,78,67,60,
8,4,2,54195,6,1,77,67,59,
8,4,4,54770,6,1,77,66,59,
8,5,1,54185,6,1,77,67,59,
8,5,2,54432,6,1,77,67,59,
8,5,4,55052,6,1,76,66,59,
8,6,1,54295,6,1,77,67,59,
8,6,2,54481,6,1,77,67,59,
8,6,4,55276,6,1,76,66,58,
8,7,1,54582,6,1,77,67,59,
8,7,2,54804,6,1,77,66,59,
8,7,4,55470,6,1,76,65,58,
8,8,1,54779,6,1,77,66,59,
8,8,2,55095,6,1,76,66,58,
8,8,4,55713,6,1,75,65,58,
